origen,destino,via,distancia_km,tiempo_min,costo_sol,congestion,demanda_zona
335,1108,Av. 28 de Julio,0.4114,1.77,0.84,baja,media
335,1036,Av. Brasil,0.4573,2.53,1.05,alta,media
336,952,Av. Benavides,0.1237,0.86,0.62,alta,baja
336,493,Av. Arequipa,0.2436,1.44,1.03,alta,baja
336,843,Av. Salaverry,0.7504,3.39,1.44,alta,baja
336,89,Av. Javier Prado,1.0072,3.69,2.22,media,baja
336,606,Av. Aviacion,1.0868,3.15,2.23,baja,baja
336,480,Av. Primavera,1.1513,3.35,1.68,media,baja
337,1067,Av. Colonial,0.3711,2.57,0.85,baja,baja
337,1418,Av. Angamos,0.4803,1.77,1.2,media,baja
337,1411,Av. Santa Cruz,0.6403,2.27,1.26,alta,baja
337,229,Av. La Encalada,0.642,2.11,1.56,media,baja
337,998,Av. Javier Prado,0.6819,2.21,2.24,alta,baja
337,671,Av. Benavides,0.9167,2.69,2.42,media,baja
338,1351,Av. Santa Cruz,0.2699,1.86,1.21,alta,baja
338,1065,Av. Angamos,0.3815,1.72,1.81,alta,baja
338,1342,Av. El Derby,0.8503,2.55,2.15,alta,baja
338,16,Av. Angamos,0.9372,3.42,2.43,baja,baja
338,91,Av. Tomas Marsano,1.0063,2.82,2.5,media,baja
338,652,Av. Brasil,1.0121,2.94,2.67,media,baja
339,1360,Av. Universitaria,0.688,3.45,1.6,alta,baja
339,125,Av. Santa Cruz,0.7522,3.22,1.5,baja,baja
339,557,Av. Universitaria,0.81,2.51,1.5,alta,baja
339,1340,Av. Primavera,0.8398,3.25,1.97,baja,baja
339,576,Via Expresa,0.9656,3.89,2.64,alta,baja
339,1449,Av. El Derby,1.0636,3.35,2.05,baja,baja
340,1321,Av. Primavera,0.8872,2.82,2.02,media,baja
340,1314,Av. Primavera,1.0768,2.81,2.21,media,baja
340,1492,Via Expresa,1.1317,2.84,1.94,baja,baja
340,610,Av. Universitaria,1.1607,3.52,2.2,media,baja
340,237,Av. Universitaria,1.2082,3.88,2.64,alta,baja
340,1032,Av. Tomas Marsano,1.2728,3.64,2.85,media,baja
341,1025,Via Expresa,0.1988,2.39,1.49,media,baja
341,1276,Av. Aviacion,0.2456,2.23,1.34,alta,baja
341,1385,Av. El Derby,0.6454,2.39,2.04,media,baja
341,4,Via Expresa,0.7128,2.53,2.22,alta,baja
341,713,Av. Benavides,0.7219,3.27,2.36,media,baja
341,1476,Av. Benavides,0.7602,2.8,1.73,alta,baja
342,3,Av. Aviacion,0.1566,1.35,1.68,alta,media
342,1267,Av. Primavera,0.1722,2.04,0.71,alta,media
342,318,Av. Aviacion,0.2444,2.64,0.96,media,media
342,165,Av. Arequipa,0.3426,2.28,1.19,baja,media
342,1393,Av. Universitaria,0.385,1.95,0.95,media,media
342,982,Av. Tomas Marsano,0.3868,3.12,1.64,alta,media
343,235,Av. Larco,0.3645,3.48,1.65,baja,muy_alta
343,1156,Av. Brasil,0.4239,3.4,1.34,alta,muy_alta
343,68,Av. Primavera,0.4773,4.44,1.52,baja,muy_alta
343,1129,Av. Angamos,0.5896,3.83,2.05,baja,muy_alta
343,1420,Av. 28 de Julio,0.6208,3.38,1.69,baja,muy_alta
343,1216,Av. Colonial,0.6786,4.61,2.13,media,muy_alta
344,1292,Av. 28 de Julio,0.3628,1.86,0.88,baja,baja
344,623,Av. Arequipa,0.4981,2.8,2.07,media,baja
344,1491,Av. Universitaria,0.5092,3.09,2.09,baja,baja
344,1499,Av. Universitaria,0.5604,1.96,1.93,media,baja
344,1498,Av. Petit Thouars,0.6608,2.22,1.55,media,baja
344,1486,Av. Petit Thouars,0.7033,3.43,2.07,alta,baja
345,508,Av. El Derby,0.3528,1.68,1.44,alta,media
345,242,Av. Santa Cruz,0.4195,2.25,1.49,media,media
345,271,Av. Primavera,0.479,2.53,2.06,baja,media
345,326,Av. La Encalada,0.5741,2.7,1.32,media,media
345,267,Av. Brasil,0.6151,3.03,1.26,baja,media
345,1245,Av. Caminos del Inca,0.6296,2.44,1.75,media,media
346,1106,Av. Salaverry,0.1297,2.17,0.46,baja,baja
346,889,Av. La Encalada,0.2176,2.36,0.85,baja,baja
346,141,Av. Javier Prado,0.3949,1.55,1.13,media,baja
346,986,Av. 28 de Julio,0.4137,2.23,0.96,media,baja
346,174,Av. Larco,0.7459,2.0,2.03,baja,baja
346,676,Av. Aviacion,1.0436,3.91,1.57,baja,baja
347,888,Av. Angamos,0.2994,2.39,0.78,media,baja
347,1007,Av. Larco,0.4989,2.77,1.57,alta,baja
347,499,Av. El Derby,0.5086,3.15,1.84,media,baja
347,569,Av. 28 de Julio,0.7732,2.97,1.5,media,baja
347,968,Av. La Encalada,0.8237,2.56,2.2,baja,baja
347,671,Av. La Marina,0.8301,3.51,2.11,media,baja
348,1493,Via Expresa,0.1932,1.81,1.38,alta,baja
348,951,Av. Larco,0.2609,1.19,1.79,media,baja
348,577,Av. Aviacion,0.6264,2.54,2.13,media,baja
348,812,Av. Benavides,0.6533,2.79,1.98,baja,baja
348,717,Av. La Marina,0.9132,3.01,1.69,baja,baja
348,7,Av. Caminos del Inca,0.9171,2.86,1.5,alta,baja
349,963,Av. Javier Prado,0.1557,1.57,1.62,alta,baja
349,1429,Av. La Encalada,0.2279,2.25,0.62,media,baja
349,994,Av. La Encalada,0.2985,2.25,1.62,baja,baja
349,1052,Av. Javier Prado,0.4571,2.91,1.72,media,baja
349,421,Av. Santa Cruz,0.5933,2.84,1.57,alta,baja
349,1494,Av. 28 de Julio,0.6679,2.48,2.09,alta,baja
350,539,Av. La Encalada,0.2426,1.72,1.04,baja,baja
350,915,Av. Colonial,0.321,1.71,1.49,media,baja
350,1058,Av. Tomas Marsano,0.4632,2.79,1.07,media,baja
350,658,Av. La Encalada,0.4662,1.5,1.93,media,baja
350,647,Av. Javier Prado,0.5236,1.71,1.57,baja,baja
350,969,Av. Santa Cruz,0.5612,3.27,1.68,baja,baja
351,1100,Av. Salaverry,0.4081,1.51,1.27,baja,baja
351,204,Av. Brasil,0.8315,3.79,2.11,media,baja
351,487,Av. Javier Prado,1.28,3.89,2.7,alta,baja
351,615,Av. Benavides,1.4865,3.65,3.2,media,baja
351,538,Av. 28 de Julio,1.5087,3.78,2.16,media,baja
351,775,Via Expresa,1.601,4.43,3.29,alta,baja
352,245,Av. Caminos del Inca,0.0314,1.22,0.56,baja,alta
352,77,Av. Larco,0.1736,1.55,0.56,alta,alta
352,983,Av. Benavides,0.2168,1.62,0.99,alta,alta
352,1129,Av. 28 de Julio,0.285,2.13,1.07,media,alta
352,68,Av. Primavera,0.3244,3.09,0.97,baja,alta
352,429,Av. Aviacion,0.3485,2.61,1.29,alta,alta
353,974,Av. Larco,0.4264,3.84,0.91,baja,muy_alta
353,767,Av. El Derby,0.5439,3.97,1.49,alta,muy_alta
353,1295,Av. Larco,0.5745,4.26,1.06,media,muy_alta
353,187,Av. Caminos del Inca,0.713,5.44,2.02,media,muy_alta
353,960,Av. El Derby,0.7242,5.58,1.73,media,muy_alta
353,263,Av. Larco,0.7629,4.93,2.15,alta,muy_alta
354,787,Av. Javier Prado,0.2469,1.41,1.19,alta,baja
354,2,Av. Aviacion,0.4767,1.93,1.63,alta,baja
354,160,Av. Angamos,0.5765,2.93,2.08,media,baja
354,395,Av. Petit Thouars,0.716,2.33,2.05,baja,baja
354,975,Av. Primavera,0.846,3.57,1.43,baja,baja
354,1254,Av. La Encalada,1.0204,3.61,2.11,alta,baja
355,1275,Av. Colonial,0.0789,1.6,0.51,baja,muy_alta
355,725,Av. Colonial,0.1963,2.94,1.58,alta,muy_alta
355,601,Av. Petit Thouars,0.2811,2.21,0.64,baja,muy_alta
355,1287,Av. Colonial,0.2936,2.48,1.2,alta,muy_alta
355,1098,Av. Brasil,0.3477,2.47,1.79,baja,muy_alta
355,840,Via Expresa,0.415,2.95,1.85,baja,muy_alta
356,1406,Av. Javier Prado,0.5266,2.48,1.37,baja,media
356,826,Av. Angamos,0.674,2.45,1.29,alta,media
356,324,Av. Santa Cruz,0.7622,3.8,1.53,baja,media
356,1075,Av. La Encalada,0.8318,3.8,1.87,baja,media
356,26,Av. Javier Prado,0.8954,3.66,2.13,media,media
356,1289,Via Expresa,0.9117,3.85,2.39,alta,media
357,1071,Av. Salaverry,0.2199,1.36,1.5,alta,baja
357,749,Av. Aviacion,0.4739,1.86,1.95,alta,baja
357,1255,Av. 28 de Julio,0.6809,3.0,2.1,media,baja
357,935,Av. La Marina,0.8005,3.57,2.34,media,baja
357,970,Av. Caminos del Inca,0.9827,3.79,1.72,media,baja
357,227,Av. Universitaria,1.0853,3.63,2.2,media,baja
358,142,Av. Larco,0.27,1.49,1.69,alta,baja
358,265,Av. Salaverry,0.429,1.36,0.98,media,baja
358,742,Av. Arequipa,0.4698,2.65,1.17,alta,baja
358,230,Av. 28 de Julio,0.6562,3.22,2.21,baja,baja
358,448,Av. La Marina,0.7478,2.89,1.77,alta,baja
358,1337,Av. Universitaria,1.1102,3.04,2.72,baja,baja
359,1213,Av. Salaverry,0.3656,1.51,1.41,baja,media
359,406,Av. Brasil,0.4208,2.47,1.41,media,media
359,1135,Av. Petit Thouars,0.521,2.11,1.02,baja,media
359,1144,Av. 28 de Julio,0.5882,2.66,1.16,media,media
359,1157,Av. Benavides,0.627,3.1,1.88,alta,media
359,214,Av. Arequipa,0.7848,3.51,2.05,media,media
360,728,Av. Santa Cruz,0.5808,3.14,1.99,media,baja
360,260,Av. Benavides,0.6784,2.35,2.07,media,baja
360,1311,Av. Primavera,0.6911,3.37,1.86,media,baja
360,573,Av. La Marina,0.8359,3.03,1.68,media,baja
360,760,Av. Javier Prado,1.0434,3.76,1.79,baja,baja
360,178,Av. Salaverry,1.1811,3.85,2.3,alta,baja
361,763,Av. Benavides,0.3521,2.38,1.68,media,baja
361,737,Av. La Marina,0.3758,1.71,0.8,alta,baja
361,189,Av. Colonial,0.4348,1.86,1.68,alta,baja
361,500,Av. Caminos del Inca,0.4659,1.82,1.85,media,baja
361,13,Av. La Marina,0.4806,1.55,1.13,media,baja
361,156,Av. Arequipa,0.6216,2.52,1.64,alta,baja
362,555,Av. Salaverry,0.4272,1.82,0.91,media,media
362,232,Av. La Encalada,0.5359,3.13,1.44,baja,media
362,893,Av. El Derby,0.6022,3.28,1.33,baja,media
362,823,Av. Angamos,0.6259,3.36,1.72,alta,media
362,684,Av. Javier Prado,0.7057,2.65,1.98,alta,media
362,1454,Via Expresa,0.7399,2.48,1.96,baja,media
363,636,Av. 28 de Julio,0.3524,2.52,1.23,alta,baja
363,1224,Av. 28 de Julio,0.4301,1.87,1.68,media,baja
363,773,Av. El Derby,0.49,2.25,1.59,baja,baja
363,736,Av. 28 de Julio,0.5144,1.97,1.94,media,baja
363,1053,Av. El Derby,0.8559,3.58,2.02,alta,baja
363,795,Av. Caminos del Inca,0.9502,2.52,2.64,alta,baja
364,220,Av. Benavides,0.2052,2.23,1.72,baja,alta
364,51,Av. Larco,0.3912,3.12,1.09,alta,alta
364,433,Av. Tomas Marsano,0.4349,2.46,0.96,media,alta
364,163,Av. Primavera,0.4412,2.73,1.51,baja,alta
364,801,Av. Angamos,0.7056,3.94,1.5,media,alta
364,938,Av. Colonial,0.7192,3.62,1.89,alta,alta
365,1359,Av. 28 de Julio,0.511,2.1,1.64,baja,baja
365,488,Av. Aviacion,0.7635,2.32,1.51,alta,baja
365,215,Av. La Marina,0.774,2.49,1.72,alta,baja
365,376,Av. Colonial,0.789,3.5,1.89,alta,baja
365,832,Av. El Derby,0.8231,2.96,2.08,alta,baja
365,177,Av. El Derby,0.867,2.74,2.49,alta,baja
366,294,Av. La Marina,0.3053,1.63,1.2,alta,baja
366,675,Av. 28 de Julio,0.43,2.9,1.2,media,baja
366,103,Av. Santa Cruz,0.669,3.02,1.97,media,baja
366,233,Av. Petit Thouars,0.7396,2.15,1.36,media,baja
366,1450,Av. 28 de Julio,0.8257,3.0,2.37,baja,baja
366,147,Av. Santa Cruz,0.9115,2.65,1.47,alta,baja
367,1457,Av. Colonial,0.1052,1.59,1.32,baja,media
367,476,Av. Petit Thouars,0.316,1.67,1.72,media,media
367,840,Av. La Encalada,0.3177,2.11,1.38,baja,media
367,1380,Av. Santa Cruz,0.3415,2.27,1.8,media,media
367,1275,Av. Angamos,0.5429,3.04,2.01,alta,media
367,355,Av. Brasil,0.6005,3.09,2.08,alta,media
368,1186,Av. Caminos del Inca,0.0966,1.72,0.58,media,baja
368,779,Av. Javier Prado,0.1539,1.42,0.91,baja,baja
368,496,Via Expresa,0.3125,2.28,1.69,media,baja
368,1021,Av. Caminos del Inca,0.403,1.63,1.66,baja,baja
368,870,Av. Brasil,0.4567,2.59,1.52,media,baja
368,1102,Av. Aviacion,0.5115,2.11,2.0,baja,baja
369,8,Av. 28 de Julio,0.1978,2.49,1.09,media,alta
369,978,Av. Petit Thouars,0.432,3.5,1.97,baja,alta
369,1425,Av. Caminos del Inca,0.5323,3.29,1.46,alta,alta
369,153,Av. Santa Cruz,0.5557,2.45,1.76,alta,alta
369,144,Av. Salaverry,0.5681,4.01,1.8,baja,alta
369,1223,Av. Salaverry,0.6407,3.2,1.85,baja,alta
370,630,Av. Universitaria,0.1045,0.91,0.73,alta,media
370,584,Av. Primavera,0.2433,1.9,0.92,alta,media
370,867,Av. La Encalada,0.2447,2.31,1.41,baja,media
370,979,Av. El Derby,0.2645,2.22,0.9,media,media
370,392,Av. Santa Cruz,0.3115,1.66,0.97,media,media
370,1174,Av. Petit Thouars,0.3989,2.97,1.75,alta,media
371,133,Av. Arequipa,0.4465,2.38,1.63,media,baja
371,1347,Av. Caminos del Inca,0.4603,2.94,1.53,baja,baja
371,227,Av. Primavera,0.5428,2.51,1.02,media,baja
371,902,Av. La Encalada,0.5997,3.31,1.7,media,baja
371,929,Av. Arequipa,0.6347,1.87,2.01,media,baja
371,554,Via Expresa,0.8995,2.85,2.03,baja,baja
372,1125,Av. Aviacion,0.247,1.46,0.96,alta,baja
372,1230,Av. Universitaria,0.4074,2.2,1.83,baja,baja
372,1240,Av. Santa Cruz,0.5,1.81,1.57,baja,baja
372,1357,Av. Petit Thouars,0.7409,3.66,1.32,baja,baja
372,1290,Av. El Derby,0.8122,2.77,1.83,media,baja
372,219,Av. Caminos del Inca,0.8429,2.83,1.7,alta,baja
373,1173,Av. Primavera,0.7045,2.4,1.66,baja,media
373,918,Av. Benavides,0.7687,3.77,1.68,baja,media
373,29,Av. Universitaria,0.8005,4.0,1.64,baja,media
373,629,Av. La Encalada,0.8847,4.17,1.67,baja,media
373,1159,Av. Santa Cruz,0.9107,4.32,1.78,baja,media
373,435,Av. Colonial,0.9831,3.51,2.53,media,media
374,988,Av. Universitaria,0.1018,1.36,0.77,baja,baja
374,1303,Av. Salaverry,0.1576,1.66,1.13,alta,baja
374,0,Av. La Marina,0.4972,3.02,0.95,alta,baja
374,421,Via Expresa,0.5248,3.15,1.23,alta,baja
374,33,Av. Arequipa,0.5998,1.94,1.2,media,baja
374,52,Av. Santa Cruz,0.6235,3.34,1.29,media,baja
375,1414,Av. Benavides,0.2124,2.42,0.56,media,media
375,1024,Av. La Marina,0.2885,1.78,0.74,media,media
375,157,Av. Tomas Marsano,0.2991,1.44,1.58,media,media
375,913,Av. Primavera,0.3625,1.59,1.45,alta,media
375,1190,Av. Larco,0.4153,2.42,1.99,baja,media
375,1264,Av. Universitaria,0.4209,2.4,1.16,alta,media
376,488,Av. Tomas Marsano,0.0901,0.92,1.51,media,baja
376,177,Av. La Encalada,0.209,1.58,1.47,baja,baja
376,1359,Av. Angamos,0.3459,2.47,1.17,media,baja
376,365,Av. La Encalada,0.789,3.32,1.33,baja,baja
376,215,Av. Larco,0.8379,2.94,1.94,alta,baja
376,887,Av. Larco,0.865,2.48,2.1,alta,baja
377,1464,Av. Primavera,0.6715,3.1,1.68,alta,baja
377,1272,Av. Universitaria,0.7673,2.81,2.14,media,baja
377,112,Av. Aviacion,0.9227,3.21,1.89,baja,baja
377,472,Av. Angamos,1.0061,2.96,2.28,alta,baja
377,754,Av. Petit Thouars,1.2953,4.33,2.5,baja,baja
377,1077,Av. Angamos,1.3621,3.39,3.07,baja,baja
378,702,Av. Tomas Marsano,0.0479,2.02,1.34,alta,media
378,1258,Av. Arequipa,0.1174,1.71,0.92,media,media
378,778,Av. Caminos del Inca,0.2467,2.27,0.84,alta,media
378,1458,Av. 28 de Julio,0.2744,2.68,1.47,media,media
378,1446,Av. Angamos,0.4774,2.1,2.0,baja,media
378,1431,Av. El Derby,0.5082,1.99,1.69,media,media
379,384,Av. La Encalada,0.0947,1.78,0.92,baja,baja
379,1350,Av. Aviacion,0.5373,2.68,1.53,media,baja
379,499,Av. Tomas Marsano,0.5731,3.08,1.3,baja,baja
379,671,Av. Santa Cruz,0.6621,2.11,1.68,alta,baja
379,569,Via Expresa,0.8142,2.4,2.05,baja,baja
379,579,Av. Angamos,0.8348,3.18,1.82,media,baja
380,1128,Av. Angamos,0.3606,2.41,1.22,media,baja
380,771,Av. La Marina,0.3868,2.55,1.57,media,baja
380,325,Av. Arequipa,0.7442,3.61,1.56,baja,baja
380,945,Via Expresa,0.7994,3.06,2.16,baja,baja
380,850,Av. Angamos,0.8083,3.4,2.27,baja,baja
380,1428,Av. Tomas Marsano,0.8361,3.36,2.25,baja,baja
381,739,Av. La Marina,0.1396,1.64,0.95,alta,media
381,1426,Av. Colonial,0.5631,2.96,1.21,alta,media
381,837,Av. Aviacion,0.5921,2.34,1.12,baja,media
381,858,Av. Javier Prado,0.6008,2.44,1.77,media,media
381,1180,Av. Colonial,0.6097,2.65,2.19,baja,media
381,1327,Av. Arequipa,0.6218,2.93,1.87,alta,media
382,923,Av. Benavides,0.0404,1.87,0.91,media,baja
382,689,Av. Caminos del Inca,0.2047,2.13,1.72,alta,baja
382,412,Av. 28 de Julio,0.5063,1.78,1.0,baja,baja
382,317,Av. Larco,0.5908,2.15,1.19,media,baja
382,420,Av. Angamos,0.616,2.11,1.89,media,baja
382,1301,Via Expresa,0.6669,2.77,2.11,alta,baja
383,459,Av. Brasil,0.0886,0.92,0.49,media,baja
383,652,Av. Salaverry,0.1647,2.38,1.37,alta,baja
383,400,Via Expresa,0.4089,1.43,1.42,alta,baja
383,1342,Av. Primavera,0.4143,1.79,1.09,alta,baja
383,16,Av. Universitaria,0.5712,1.96,1.96,baja,baja
383,1294,Av. El Derby,0.6032,2.09,1.47,media,baja
384,379,Av. Tomas Marsano,0.0947,1.32,0.87,media,baja
384,499,Av. 28 de Julio,0.5303,2.78,1.36,alta,baja
384,1350,Av. Larco,0.6319,3.15,1.19,media,baja
384,671,Av. Aviacion,0.6977,2.33,2.1,baja,baja
384,569,Av. La Encalada,0.7222,2.47,1.72,alta,baja
384,579,Av. Caminos del Inca,0.7688,3.44,1.61,media,baja
385,186,Av. Colonial,0.3735,2.54,1.65,media,muy_alta
385,502,Av. Aviacion,0.4042,3.4,1.4,baja,muy_alta
385,39,Av. Caminos del Inca,0.5049,3.94,1.81,baja,muy_alta
385,1474,Av. La Encalada,0.6479,4.9,1.36,media,muy_alta
385,947,Av. Caminos del Inca,0.6864,6.03,1.6,alta,muy_alta
385,677,Av. Angamos,0.7802,6.1,1.77,alta,muy_alta
386,1300,Via Expresa,0.3163,1.87,1.28,baja,baja
386,632,Av. 28 de Julio,0.5173,2.9,1.11,alta,baja
386,76,Av. Larco,0.5743,2.71,1.54,baja,baja
386,1140,Av. Benavides,0.5784,2.02,1.71,baja,baja
386,828,Av. Angamos,0.7505,2.46,2.35,media,baja
386,1149,Av. Tomas Marsano,0.8589,2.69,2.29,media,baja
387,882,Av. Arequipa,0.4483,3.06,1.76,alta,media
387,650,Via Expresa,0.6876,2.65,1.35,alta,media
387,1171,Av. La Marina,0.8728,4.01,2.43,media,media
387,796,Av. Tomas Marsano,0.8966,4.21,2.11,baja,media
387,664,Av. Benavides,0.9469,3.31,1.81,alta,media
387,453,Via Expresa,0.9473,3.38,2.22,alta,media
388,1245,Av. 28 de Julio,0.2706,2.25,1.34,baja,media
388,123,Av. Angamos,0.2765,2.79,1.41,alta,media
388,267,Av. Petit Thouars,0.2941,2.34,1.33,baja,media
388,766,Av. Caminos del Inca,0.3219,2.49,0.95,baja,media
388,326,Via Expresa,0.4321,2.83,1.79,alta,media
388,271,Av. 28 de Julio,0.4795,2.32,0.94,media,media
389,1096,Av. Salaverry,0.7171,2.97,1.97,baja,alta
389,980,Av. Santa Cruz,1.1874,6.88,2.4,alta,alta
389,1269,Av. Universitaria,1.2731,5.51,2.08,baja,alta
389,1425,Av. Benavides,1.3349,6.58,3.07,media,alta
389,978,Av. Caminos del Inca,1.3467,6.78,2.4,media,alta
389,1223,Av. Brasil,1.4034,5.82,3.07,baja,alta
390,1215,Av. Salaverry,0.4425,2.24,1.78,baja,baja
390,299,Av. El Derby,0.59,3.22,1.33,alta,baja
390,164,Av. Primavera,0.7007,3.21,2.24,alta,baja
390,1379,Av. Universitaria,0.9876,3.35,2.42,media,baja
390,306,Av. Angamos,1.0415,4.32,2.4,media,baja
390,600,Av. La Encalada,1.0605,3.21,1.66,baja,baja
391,1408,Av. Aviacion,0.0731,1.87,1.09,alta,media
391,513,Av. Santa Cruz,0.1518,1.47,0.62,alta,media
391,811,Av. Javier Prado,0.1808,2.29,0.9,baja,media
391,1154,Av. La Marina,0.3012,1.69,0.87,media,media
391,795,Av. Universitaria,0.3746,2.1,1.42,media,media
391,706,Av. Primavera,0.5171,2.59,1.49,alta,media
392,170,Av. Caminos del Inca,0.2023,1.98,1.03,alta,media
392,571,Av. Primavera,0.2777,2.33,1.08,baja,media
392,370,Av. El Derby,0.3115,2.19,0.91,baja,media
392,630,Av. 28 de Julio,0.3193,2.34,1.28,alta,media
392,867,Av. Benavides,0.3419,1.85,1.61,alta,media
392,584,Av. Petit Thouars,0.3963,1.86,1.2,media,media
393,262,Av. Benavides,0.3027,2.14,1.82,alta,media
393,244,Av. La Marina,0.6283,3.4,1.7,alta,media
393,53,Av. Petit Thouars,0.7628,3.44,2.08,baja,media
393,948,Av. Petit Thouars,0.8105,3.66,2.09,alta,media
393,482,Av. Santa Cruz,0.8273,3.39,1.7,media,media
393,1388,Av. Aviacion,0.8428,4.12,1.45,baja,media
394,1087,Av. Salaverry,0.0725,1.54,0.52,alta,media
394,1198,Av. Brasil,0.2651,2.39,1.49,baja,media
394,683,Av. La Marina,0.2784,1.7,0.74,baja,media
394,815,Av. Petit Thouars,0.2958,1.54,1.54,alta,media
394,855,Av. Universitaria,0.4431,2.66,1.75,media,media
394,62,Av. Universitaria,0.4724,2.39,0.89,alta,media
395,975,Av. Tomas Marsano,0.23,2.13,1.59,media,baja
395,1324,Av. Universitaria,0.4785,2.9,1.54,baja,baja
395,354,Av. Tomas Marsano,0.716,3.13,1.26,media,baja
395,787,Av. Tomas Marsano,0.9263,3.86,1.56,baja,baja
395,2,Av. Angamos,0.9584,2.73,1.74,baja,baja
395,1162,Av. Brasil,1.2744,4.2,2.41,baja,baja
396,1468,Av. Angamos,0.0456,0.95,1.22,media,media
396,740,Av. Angamos,0.1819,1.41,0.73,media,media
396,1236,Av. Javier Prado,0.4863,2.03,2.07,baja,media
396,999,Av. Angamos,0.4885,2.65,1.38,media,media
396,108,Av. Aviacion,0.5074,2.1,1.01,media,media
396,90,Av. La Encalada,0.63,3.32,1.92,alta,media
397,417,Av. 28 de Julio,0.1273,1.13,0.85,alta,media
397,1029,Av. Caminos del Inca,0.24,2.35,1.76,baja,media
397,738,Av. Benavides,0.2421,1.89,1.4,alta,media
397,1405,Av. Larco,0.2646,2.71,1.03,alta,media
397,1024,Av. Salaverry,0.3986,2.96,0.98,alta,media
397,1432,Av. 28 de Julio,0.4387,2.78,1.72,media,media
398,830,Via Expresa,0.4531,1.86,1.33,media,baja
398,93,Av. Angamos,0.5973,2.36,1.65,alta,baja
398,976,Av. El Derby,0.6313,2.05,1.13,media,baja
398,518,Av. Brasil,0.7206,2.8,1.91,media,baja
398,1284,Av. La Encalada,0.7595,3.27,1.81,media,baja
398,1310,Av. Primavera,0.8262,2.56,1.56,media,baja
399,1449,Av. Larco,0.3011,2.17,1.5,media,baja
399,32,Av. 28 de Julio,0.3632,2.13,1.28,baja,baja
399,860,Av. La Encalada,0.3895,2.09,1.39,baja,baja
399,1022,Av. Colonial,0.4824,2.21,1.34,alta,baja
399,557,Av. Santa Cruz,0.4898,2.37,1.79,media,baja
399,312,Av. Colonial,0.6356,2.42,1.65,alta,baja
400,459,Av. Santa Cruz,0.3205,1.64,0.77,media,baja
400,383,Av. Santa Cruz,0.4089,1.87,1.26,media,baja
400,897,Av. La Marina,0.5,1.8,0.97,media,baja
400,652,Av. Aviacion,0.5407,2.51,2.0,baja,baja
400,1219,Via Expresa,0.5913,2.67,1.75,media,baja
400,537,Av. Arequipa,0.6462,2.12,1.33,baja,baja
401,1124,Av. Arequipa,0.1992,1.47,0.94,alta,baja
401,1254,Av. Javier Prado,0.796,2.84,1.48,baja,baja
401,2,Av. Brasil,1.1565,3.67,2.55,alta,baja
401,160,Av. Caminos del Inca,1.6096,5.35,2.52,alta,baja
401,354,Av. La Encalada,1.6268,4.34,2.6,baja,baja
401,787,Av. La Encalada,1.7607,5.46,2.46,media,baja
402,1475,Av. El Derby,0.0815,2.12,1.0,alta,media
402,878,Av. La Marina,0.1885,1.22,1.17,media,media
402,72,Av. Benavides,0.4357,2.47,1.77,baja,media
402,859,Via Expresa,0.4566,2.11,1.17,media,media
402,489,Via Expresa,0.5106,3.0,1.09,alta,media
402,1091,Av. Arequipa,0.5188,1.9,1.95,media,media
403,196,Av. Santa Cruz,0.209,1.5,1.7,baja,media
403,1454,Av. Primavera,0.2868,1.68,1.65,alta,media
403,823,Av. Colonial,0.4136,1.75,1.03,media,media
403,522,Av. Tomas Marsano,0.4186,2.0,1.54,alta,media
403,1367,Av. Aviacion,0.4335,2.17,1.51,media,media
403,651,Av. Angamos,0.5221,3.49,1.02,baja,media
404,206,Via Expresa,0.1726,1.21,1.05,alta,alta
404,1346,Av. 28 de Julio,0.4032,2.93,1.41,baja,alta
404,309,Av. La Encalada,0.4862,3.52,0.97,alta,alta
404,1242,Av. Petit Thouars,0.4881,2.69,1.72,media,alta
404,535,Av. Aviacion,0.5053,2.37,1.77,baja,alta
404,1191,Av. Arequipa,0.5415,4.16,1.54,baja,alta
405,1420,Av. Universitaria,0.2141,1.99,1.44,media,alta
405,1145,Via Expresa,0.2241,2.27,1.44,baja,alta
405,1156,Av. Aviacion,0.3484,2.97,0.97,media,alta
405,1055,Av. Santa Cruz,0.4724,2.74,1.77,alta,alta
405,762,Av. Larco,0.4796,2.66,1.59,media,alta
405,507,Av. Benavides,0.5441,2.85,1.56,media,alta
406,359,Av. Angamos,0.4208,2.55,0.83,media,baja
406,1144,Av. Angamos,0.5533,2.27,1.26,media,baja
406,548,Av. Universitaria,0.6087,2.8,1.92,baja,baja
406,1213,Av. Brasil,0.6407,1.83,1.52,baja,baja
406,1368,Av. 28 de Julio,0.7438,2.56,1.79,alta,baja
406,117,Av. Caminos del Inca,0.8077,3.33,2.23,baja,baja
407,813,Av. La Encalada,0.4576,2.75,1.55,alta,baja
407,1427,Av. Larco,0.6197,2.86,2.13,alta,baja
407,1488,Av. Larco,0.7021,3.42,1.88,media,baja
407,1101,Av. Tomas Marsano,0.7899,2.48,1.47,media,baja
407,424,Av. Tomas Marsano,0.8137,3.03,1.43,baja,baja
407,192,Av. Universitaria,0.9908,3.8,2.47,alta,baja
408,818,Av. El Derby,0.0294,0.93,1.13,alta,baja
408,1048,Av. Aviacion,0.3172,1.5,1.62,alta,baja
408,490,Av. Angamos,0.7061,2.65,1.64,alta,baja
